origin,policy,Q,rotation,window,n32,mean,SE
i20_new,native/r0p9/cp,0,0,whole,32,0.22873723955364145,0.0030464704500715251
i20_new,native/r0p9/rec99,0,0,whole,32,0.22994789185906062,0.0032456278394750958
i20_new,native/r0p9/rec9,0,0,whole,32,0.27122267515374332,0.0031207821369980846
i20_new,native/rstar/cp,0,0,whole,32,0.6411070606575735,0.0045321153072259666
i20_new,native/rstar/rec99,0,0,whole,32,0.6431469092632478,0.004652877458629202
i20_new,native/rstar/rec9,0,0,whole,32,0.68356314876249868,0.004376962747408588
i20_new,full_legacy/r0p9/cp,0,0,whole,32,0.22999614146218711,0.0030334161753643777
i20_new,full_legacy/r0p9/rec99,0,0,whole,32,0.23093765935876256,0.0032670735847157972
i20_new,full_legacy/r0p9/rec9,0,0,whole,32,0.27122267515374332,0.0031207821369980846
i20_new,full_legacy/rstar/cp,0,0,whole,32,0.64471872247028661,0.0042875966752764999
i20_new,full_legacy/rstar/rec99,0,0,whole,32,0.64741902121994288,0.0045174157343442533
i20_new,full_legacy/rstar/rec9,0,0,whole,32,0.68595482809453934,0.004240474846843905
i20_new,ew99/r0p9/cp,0,0,whole,32,0.2298221293779627,0.0029503568067058821
i20_new,ew99/r0p9/rec99,0,0,whole,32,0.22643142250216841,0.0029208894854119635
i20_new,ew99/r0p9/rec9,0,0,whole,32,0.27122267515374332,0.0031207821369980846
i20_new,ew99/rstar/cp,0,0,whole,32,0.64683508055219385,0.0040551849224322589
i20_new,ew99/rstar/rec99,0,0,whole,32,0.64405137354675213,0.0042223870141567194
i20_new,ew99/rstar/rec9,0,0,whole,32,0.68822021173413239,0.0041835299347144882
i20_new,ew999/r0p9/cp,0,0,whole,32,0.22868634816546912,0.0028926153513764135
i20_new,ew999/r0p9/rec99,0,0,whole,32,0.22528818100471096,0.0028930483534559733
i20_new,ew999/r0p9/rec9,0,0,whole,32,0.27122267515374332,0.0031207821369980846
i20_new,ew999/rstar/cp,0,0,whole,32,0.64363080802407424,0.0040037807287421293
i20_new,ew999/rstar/rec99,0,0,whole,32,0.64004391702691721,0.0042038651061846316
i20_new,ew999/rstar/rec9,0,0,whole,32,0.68604226132182367,0.0041839533089908084
i20_new,oracle_useful/r0p9/cp,0,0,whole,32,0.11740268593813161,0.014443190435699707
i20_new,oracle_useful/r0p9/rec99,0,0,whole,32,0.11740268593813161,0.014443190435699711
i20_new,oracle_useful/r0p9/rec9,0,0,whole,32,0.27122267515374332,0.0031207821369980846
i20_new,oracle_useful/rstar/cp,0,0,whole,32,0.2204229806954825,0.014492594117124917
i20_new,oracle_useful/rstar/rec99,0,0,whole,32,0.2204229806954825,0.014492594117124918
i20_new,oracle_useful/rstar/rec9,0,0,whole,32,0.37424296991109418,0.0031512013292694201
i20_new,oracle_nuisance/r0p9/cp,0,0,whole,32,0.23731904017412939,0.0044623051468830437
i20_new,oracle_nuisance/r0p9/rec99,0,0,whole,32,0.23731904017412939,0.0044623051468830437
i20_new,oracle_nuisance/r0p9/rec9,0,0,whole,32,0.27122267515374332,0.0031207821369980846
i20_new,oracle_nuisance/rstar/cp,0,0,whole,32,0.65356684903782947,0.0054299912872123575
i20_new,oracle_nuisance/rstar/rec99,0,0,whole,32,0.65356684903782947,0.0054299912872123567
i20_new,oracle_nuisance/rstar/rec9,0,0,whole,32,0.68747048401744348,0.0042685593033507541
i20_new,native/r0p9/cp,0,0,startup,32,0.65396685779592434,0.089324635568016286
i20_new,native/r0p9/rec99,0,0,startup,32,0.68455295394471616,0.095179023244349223
i20_new,native/r0p9/rec9,0,0,startup,32,0.48029515802742484,0.06146866717670451
i20_new,native/rstar/cp,0,0,startup,32,0.84324853227900254,0.081879303954381893
i20_new,native/rstar/rec99,0,0,startup,32,0.88594205756603284,0.089192106159671464
i20_new,native/rstar/rec9,0,0,startup,32,0.66818028927569251,0.037958361530668519
i20_new,full_legacy/r0p9/cp,0,0,startup,32,0.65562364486820324,0.086708292778020279
i20_new,full_legacy/r0p9/rec99,0,0,startup,32,0.67752066652294007,0.093324493046112844
i20_new,full_legacy/r0p9/rec9,0,0,startup,32,0.48029515802742484,0.06146866717670451
i20_new,full_legacy/rstar/cp,0,0,startup,32,0.85355904208012401,0.079072766010057222
i20_new,full_legacy/rstar/rec99,0,0,startup,32,0.90479586796811762,0.091524576641196911
i20_new,full_legacy/rstar/rec9,0,0,startup,32,0.67627026404957391,0.037824482385317409
i20_new,ew99/r0p9/cp,0,0,startup,32,0.62017789747540286,0.063601528622117667
i20_new,ew99/r0p9/rec99,0,0,startup,32,0.51427523373035933,0.061549286691784763
i20_new,ew99/r0p9/rec9,0,0,startup,32,0.48029515802742484,0.06146866717670451
i20_new,ew99/rstar/cp,0,0,startup,32,0.87945532236994173,0.046588108171909989
i20_new,ew99/rstar/rec99,0,0,startup,32,0.76630971367585254,0.039685746012855641
i20_new,ew99/rstar/rec9,0,0,startup,32,0.73547033201473244,0.034268842573679237
i20_new,ew999/r0p9/cp,0,0,startup,32,0.61554595104174026,0.063445764537932436
i20_new,ew999/r0p9/rec99,0,0,startup,32,0.51722400822963555,0.061668233935014971
i20_new,ew999/r0p9/rec9,0,0,startup,32,0.48029515802742484,0.06146866717670451
i20_new,ew999/rstar/cp,0,0,startup,32,0.87290215206913691,0.046805341554800296
i20_new,ew999/rstar/rec99,0,0,startup,32,0.76584264402307434,0.040490246330230295
i20_new,ew999/rstar/rec9,0,0,startup,32,0.73306458567353328,0.034435890532228987
i20_new,oracle_useful/r0p9/cp,0,0,startup,32,1.6275362094323826,0.50838576705449467
i20_new,oracle_useful/r0p9/rec99,0,0,startup,32,1.6275362094323829,0.50838576705449467
i20_new,oracle_useful/r0p9/rec9,0,0,startup,32,0.48029515802742484,0.06146866717670451
i20_new,oracle_useful/rstar/cp,0,0,startup,32,1.6860701282749875,0.5092275677959206
i20_new,oracle_useful/rstar/rec99,0,0,startup,32,1.6860701282749875,0.50922756779592071
i20_new,oracle_useful/rstar/rec9,0,0,startup,32,0.53882907687002968,0.061699919312038463
i20_new,oracle_nuisance/r0p9/cp,0,0,startup,32,0.9288410892102561,0.11909786656054047
i20_new,oracle_nuisance/r0p9/rec99,0,0,startup,32,0.9288410892102561,0.11909786656054047
i20_new,oracle_nuisance/r0p9/rec9,0,0,startup,32,0.48029515802742484,0.06146866717670451
i20_new,oracle_nuisance/rstar/cp,0,0,startup,32,1.2343301697575746,0.11339419428321795
i20_new,oracle_nuisance/rstar/rec99,0,0,startup,32,1.2343301697575746,0.11339419428321795
i20_new,oracle_nuisance/rstar/rec9,0,0,startup,32,0.78578423857474311,0.035102010568350425
i20_new,native/r0p9/cp,0,0,transition,32,0.21924205002719493,0.0043887128194797648
i20_new,native/r0p9/rec99,0,0,transition,32,0.22062375246135446,0.00427295495053786
i20_new,native/r0p9/rec9,0,0,transition,32,0.2695903855835905,0.0053432972998018798
i20_new,native/rstar/cp,0,0,transition,32,0.62875034359318949,0.0076763634757144282
i20_new,native/rstar/rec99,0,0,transition,32,0.63113983690813868,0.0075540098514163007
i20_new,native/rstar/rec9,0,0,transition,32,0.67896742350689543,0.0075886144001156633
i20_new,full_legacy/r0p9/cp,0,0,transition,32,0.22389882457495447,0.0052182829218782433
i20_new,full_legacy/r0p9/rec99,0,0,transition,32,0.22453655177639759,0.0049660634190810734
i20_new,full_legacy/r0p9/rec9,0,0,transition,32,0.2695903855835905,0.0053432972998018798
i20_new,full_legacy/rstar/cp,0,0,transition,32,0.64113855850489521,0.0080632576005905884
i20_new,full_legacy/rstar/rec99,0,0,transition,32,0.64385854697607503,0.0080047781418950137
i20_new,full_legacy/rstar/rec9,0,0,transition,32,0.68680390010901293,0.0080179791193160637
i20_new,ew99/r0p9/cp,0,0,transition,32,0.22706378985951073,0.0057608799990312761
i20_new,ew99/r0p9/rec99,0,0,transition,32,0.22264710288415257,0.0052662282011283895
i20_new,ew99/r0p9/rec9,0,0,transition,32,0.2695903855835905,0.0053432972998018798
i20_new,ew99/rstar/cp,0,0,transition,32,0.64766715123503193,0.0085822084128079103
